t	phi	omega
0	1.57	0
0.0001	1.57	-0.000981
0.0002	1.57	-0.001962
0.0003	1.57	-0.002943
0.0004	1.57	-0.003924
0.0005	1.57	-0.004905
0.0006	1.57	-0.005886
0.0007	1.57	-0.006867
0.0008	1.57	-0.007848
0.0009	1.57	-0.008829
0.001	1.56999	-0.00981
0.0011	1.56999	-0.010791
0.0012	1.56999	-0.011772
0.0013	1.56999	-0.012753
0.0014	1.56999	-0.013734
0.0015	1.56999	-0.014715
0.0016	1.56999	-0.015696
0.0017	1.56998	-0.016677
0.0018	1.56998	-0.017658
0.0019	1.56998	-0.018639
0.002	1.56998	-0.01962
0.0021	1.56998	-0.020601
0.0022	1.56998	-0.021582
0.0023	1.56997	-0.022563
0.0024	1.56997	-0.023544
0.0025	1.56997	-0.024525
0.0026	1.56997	-0.025506
0.0027	1.56996	-0.026487
0.0028	1.56996	-0.027468
0.0029	1.56996	-0.028449
0.003	1.56995	-0.02943
0.0031	1.56995	-0.030411
0.0032	1.56995	-0.031392
0.0033	1.56994	-0.032373
0.0034	1.56994	-0.033354
0.0035	1.56994	-0.034335
0.0036	1.56993	-0.035316
0.0037	1.56993	-0.036297
0.0038	1.56993	-0.037278
0.0039	1.56992	-0.038259
0.004	1.56992	-0.03924
0.0041	1.56992	-0.040221
0.0042	1.56991	-0.041202
0.0043	1.56991	-0.042183
0.0044	1.5699	-0.043164
0.0045	1.5699	-0.044145
0.0046	1.56989	-0.045126
0.0047	1.56989	-0.046107
0.0048	1.56988	-0.047088
0.0049	1.56988	-0.048069
0.005	1.56987	-0.04905
0.0051	1.56987	-0.050031
0.0052	1.56986	-0.051012
0.0053	1.56986	-0.051993
0.0054	1.56985	-0.052974
0.0055	1.56985	-0.053955
0.0056	1.56984	-0.054936
0.0057	1.56984	-0.055917
0.0058	1.56983	-0.056898
0.0059	1.56983	-0.057879
0.006	1.56982	-0.05886
0.0061	1.56981	-0.059841
0.0062	1.56981	-0.060822
0.0063	1.5698	-0.061803
0.0064	1.5698	-0.062784
0.0065	1.56979	-0.063765
0.0066	1.56978	-0.064746
0.0067	1.56978	-0.065727
0.0068	1.56977	-0.066708
0.0069	1.56976	-0.067689
0.007	1.56976	-0.06867
0.0071	1.56975	-0.069651
0.0072	1.56974	-0.070632
0.0073	1.56974	-0.071613
0.0074	1.56973	-0.072594
0.0075	1.56972	-0.073575
0.0076	1.56971	-0.074556
0.0077	1.56971	-0.075537
0.0078	1.5697	-0.076518
